Location,Ant_ID,Ant_ID_(partner),start_time,end_time,,,,,,,,,,,,,,,,,,,,,
1,108,4,2344,2376,,,,,,,,,,,,,,,,,,,,,
1,4,108,2344,2376,,,,,,,,,,,,,,,,,,,,,
1,532,666,2387,2410,,,,,,,,,,,,,,,,,,,,,
1,666,532,2387,2410,,,,,,,,,,,,,,,,,,,,,
1,605,657,2411,2424,,,,,,,,,,,,,,,,,,,,,
1,424,657,2411,2424,,,,,,,,,,,,,,,,,,,,,
1,657,605,2411,2424,,,,,,,,,,,,,,,,,,,,,
1,657,424,2411,2424,,,,,,,,,,,,,,,,,,,,,
1,532,33,2423,2430,,,,,,,,,,,,,,,,,,,,,
1,33,532,2423,2430,,,,,,,,,,,,,,,,,,,,,
1,33,532,2436,2444,,,,,,,,,,,,,,,,,,,,,
1,532,33,2436,2444,,,,,,,,,,,,,,,,,,,,,
1,755,666,2444,2512,,,,,,,,,,,,,,,,,,,,,
1,666,755,2444,2512,,,,,,,,,,,,,,,,,,,,,
1,424,754,2478,2532,,,,,,,,,,,,,,,,,,,,,
1,754,424,2478,2532,,,,,,,,,,,,,,,,,,,,,
1,657,754,2533,2541,,,,,,,,,,,,,,,,,,,,,
1,754,657,2533,2541,,,,,,,,,,,,,,,,,,,,,
1,755,666,2538,2553,,,,,,,,,,,,,,,,,,,,,
1,666,755,2538,2553,,,,,,,,,,,,,,,,,,,,,
1,66,626,2580,2583,,,,,,,,,,,,,,,,,,,,,
1,626,66,2580,2583,,,,,,,,,,,,,,,,,,,,,
1,754,765,2581,2595,,,,,,,,,,,,,,,,,,,,,
1,765,754,2581,2595,,,,,,,,,,,,,,,,,,,,,
1,453,33,2588,2604,,,,,,,,,,,,,,,,,,,,,
1,33,453,2588,2604,,,,,,,,,,,,,,,,,,,,,
1,424,754,2601,2603,,,,,,,,,,,,,,,,,,,,,
1,754,424,2601,2603,,,,,,,,,,,,,,,,,,,,,
1,4,q,2628,2634,,,,,,,,,,,,,,,,,,,,,
1,q,4,2628,2634,,,,,,,,,,,,,,,,,,,,,
1,657,765,2633,2635,,,,,,,,,,,,,,,,,,,,,
1,765,657,2633,2635,,,,,,,,,,,,,,,,,,,,,
1,66,4,2646,2755,,,,,,,,,,,,,,,,,,,,,
1,4,66,2646,2755,,,,,,,,,,,,,,,,,,,,,
1,453,495,2661,2670,,,,,,,,,,,,,,,,,,,,,
1,495,453,2661,2670,,,,,,,,,,,,,,,,,,,,,
1,108,666,2665,2673,,,,,,,,,,,,,,,,,,,,,
1,666,108,2665,2673,,,,,,,,,,,,,,,,,,,,,
1,532,755,2665,2677,,,,,,,,,,,,,,,,,,,,,
1,755,532,2665,2677,,,,,,,,,,,,,,,,,,,,,
1,72,564,2678,2683,,,,,,,,,,,,,,,,,,,,,
1,564,72,2678,2683,,,,,,,,,,,,,,,,,,,,,
1,626,754,2681,2726,,,,,,,,,,,,,,,,,,,,,
1,754,626,2681,2726,,,,,,,,,,,,,,,,,,,,,
1,108,495,2716,2735,,,,,,,,,,,,,,,,,,,,,
1,495,108,2716,2735,,,,,,,,,,,,,,,,,,,,,
1,754,47,2739,2780,,,,,,,,,,,,,,,,,,,,,
1,47,754,2739,2780,,,,,,,,,,,,,,,,,,,,,
1,108,532,2754,2761,,,,,,,,,,,,,,,,,,,,,
1,532,108,2754,2761,,,,,,,,,,,,,,,,,,,,,
1,108,666,2777,2792,,,,,,,,,,,,,,,,,,,,,
1,666,108,2777,2792,,,,,,,,,,,,,,,,,,,,,
1,532,33,2805,2810,,,,,,,,,,,,,,,,,,,,,
1,33,532,2805,2810,,,,,,,,,,,,,,,,,,,,,
1,657,47,2817,2827,,,,,,,,,,,,,,,,,,,,,
1,47,657,2817,2827,,,,,,,,,,,,,,,,,,,,,
1,631,754,2817,2844,,,,,,,,,,,,,,,,,,,,,
1,754,631,2817,2844,,,,,,,,,,,,,,,,,,,,,
1,108,495,2822,2829,,,,,,,,,,,,,,,,,,,,,
1,495,108,2822,2829,,,,,,,,,,,,,,,,,,,,,
1,453,33,2836,2899,,,,,,,,,,,,,,,,,,,,,
1,33,453,2836,2899,,,,,,,,,,,,,,,,,,,,,
1,489,539,2866,2872,,,,,,,,,,,,,,,,,,,,,
1,539,489,2866,2872,,,,,,,,,,,,,,,,,,,,,
1,453,33,2904,2911,,,,,,,,,,,,,,,,,,,,,
1,33,453,2904,2911,,,,,,,,,,,,,,,,,,,,,
1,532,666,2904,2914,,,,,,,,,,,,,,,,,,,,,
1,666,532,2904,2914,,,,,,,,,,,,,,,,,,,,,
1,453,33,2940,2973,,,,,,,,,,,,,,,,,,,,,
1,33,453,2940,2973,,,,,,,,,,,,,,,,,,,,,
1,108,599,2946,2964,,,,,,,,,,,,,,,,,,,,,
1,599,108,2946,2964,,,,,,,,,,,,,,,,,,,,,
1,532,539,2971,2981,,,,,,,,,,,,,,,,,,,,,
1,539,532,2971,2981,,,,,,,,,,,,,,,,,,,,,
1,33,666,2987,2994,,,,,,,,,,,,,,,,,,,,,
1,666,33,2987,2994,,,,,,,,,,,,,,,,,,,,,
1,108,33,3051,3078,,,,,,,,,,,,,,,,,,,,,
1,33,108,3051,3078,,,,,,,,,,,,,,,,,,,,,
1,108,666,3078,3109,,,,,,,,,,,,,,,,,,,,,
1,666,108,3078,3109,,,,,,,,,,,,,,,,,,,,,
1,657,793,3108,3125,,,,,,,,,,,,,,,,,,,,,
1,793,657,3108,3125,,,,,,,,,,,,,,,,,,,,,
1,108,666,3115,3139,,,,,,,,,,,,,,,,,,,,,
1,666,108,3115,3139,,,,,,,,,,,,,,,,,,,,,
1,108,732,3128,3137,,,,,,,,,,,,,,,,,,,,,
1,732,108,3128,3137,,,,,,,,,,,,,,,,,,,,,
1,732,666,3128,3137,,,,,,,,,,,,,,,,,,,,,
1,666,732,3128,3137,,,,,,,,,,,,,,,,,,,,,
1,626,793,3133,3140,,,,,,,,,,,,,,,,,,,,,
1,793,626,3133,3140,,,,,,,,,,,,,,,,,,,,,
1,626,793,3151,3183,,,,,,,,,,,,,,,,,,,,,
1,793,626,3151,3183,,,,,,,,,,,,,,,,,,,,,
