Location,Ant_ID,Ant_ID_(partner),start_time,end_time,,,,,,,,,,,,,,,,,,
1,788,449,7674,7695,,,,,,,,,,,,,,,,,,
1,4,108,7680,7703,,,,,,,,,,,,,,,,,,
1,108,4,7680,7703,,,,,,,,,,,,,,,,,,
1,4,108,7725,8262,,,,,,,,,,,,,,,,,,
1,108,4,7725,8262,,,,,,,,,,,,,,,,,,
1,560,575,7748,7763,,,,,,,,,,,,,,,,,,
1,575,560,7748,7763,,,,,,,,,,,,,,,,,,
1,32,560,7901,7933,,,,,,,,,,,,,,,,,,
1,560,32,7901,7933,,,,,,,,,,,,,,,,,,
1,32,788,8172,8177,,,,,,,,,,,,,,,,,,
1,788,32,8172,8177,,,,,,,,,,,,,,,,,,
1,4,108,8348,8354,,,,,,,,,,,,,,,,,,
1,108,4,8348,8354,,,,,,,,,,,,,,,,,,
1,4,108,8387,8456,,,,,,,,,,,,,,,,,,
1,108,4,8387,8456,,,,,,,,,,,,,,,,,,
1,4,108,8462,8470,,,,,,,,,,,,,,,,,,
1,108,4,8462,8470,,,,,,,,,,,,,,,,,,
1,823,575,8504,8516,,,,,,,,,,,,,,,,,,
1,575,823,8504,8516,,,,,,,,,,,,,,,,,,
1,486,560,8516,8563,,,,,,,,,,,,,,,,,,
1,560,486,8516,8563,,,,,,,,,,,,,,,,,,
1,823,575,8522,8530,,,,,,,,,,,,,,,,,,
1,575,823,8522,8530,,,,,,,,,,,,,,,,,,
1,108,538,8583,8590,,,,,,,,,,,,,,,,,,
1,538,108,8583,8590,,,,,,,,,,,,,,,,,,
1,32,575,8617,8667,,,,,,,,,,,,,,,,,,
1,575,32,8617,8667,,,,,,,,,,,,,,,,,,
1,32,448,8683,8813,,,,,,,,,,,,,,,,,,
1,448,32,8683,8813,,,,,,,,,,,,,,,,,,
1,449,459,8722,8727,,,,,,,,,,,,,,,,,,
1,459,449,8722,8727,,,,,,,,,,,,,,,,,,
1,32,575,8856,9056,,,,,,,,,,,,,,,,,,
1,575,32,8856,9056,,,,,,,,,,,,,,,,,,
1,32,448,9005,9024,,,,,,,,,,,,,,,,,,
1,448,32,9005,9024,,,,,,,,,,,,,,,,,,
1,448,575,9005,9024,,,,,,,,,,,,,,,,,,
1,575,448,9005,9024,,,,,,,,,,,,,,,,,,
1,575,448,9130,9146,,,,,,,,,,,,,,,,,,
1,448,575,9130,9146,,,,,,,,,,,,,,,,,,
1,32,449,9145,9199,,,,,,,,,,,,,,,,,,
1,449,32,9145,9199,,,,,,,,,,,,,,,,,,
1,32,449,9214,9257,,,,,,,,,,,,,,,,,,
1,449,32,9214,9257,,,,,,,,,,,,,,,,,,
1,32,449,9459,9549,,,,,,,,,,,,,,,,,,
1,449,32,9459,9549,,,,,,,,,,,,,,,,,,
1,108,532,9530,9564,,,,,,,,,,,,,,,,,,
1,532,108,9530,9564,,,,,,,,,,,,,,,,,,
1,425,q,9547,9558,,,,,,,,,,,,,,,,,,
1,q,425,9547,9558,,,,,,,,,,,,,,,,,,
1,575,449,9578,9610,,,,,,,,,,,,,,,,,,
1,449,575,9578,9610,,,,,,,,,,,,,,,,,,
1,108,532,9616,9621,,,,,,,,,,,,,,,,,,
1,532,108,9616,9621,,,,,,,,,,,,,,,,,,
1,4,47,9616,9627,,,,,,,,,,,,,,,,,,
1,47,4,9616,9627,,,,,,,,,,,,,,,,,,
1,765,32,9630,9678,,,,,,,,,,,,,,,,,,
1,32,765,9630,9678,,,,,,,,,,,,,,,,,,
1,397,448,9642,9647,,,,,,,,,,,,,,,,,,
1,448,397,9642,9647,,,,,,,,,,,,,,,,,,
1,397,448,9650,9653,,,,,,,,,,,,,,,,,,
1,448,397,9650,9653,,,,,,,,,,,,,,,,,,
1,425,q,9659,9662,,,,,,,,,,,,,,,,,,
1,q,425,9659,9662,,,,,,,,,,,,,,,,,,
1,4,463,9671,9680,,,,,,,,,,,,,,,,,,
1,463,4,9671,9680,,,,,,,,,,,,,,,,,,
1,47,108,9693,9717,,,,,,,,,,,,,,,,,,
1,108,47,9693,9717,,,,,,,,,,,,,,,,,,
1,32,732,9701,9706,,,,,,,,,,,,,,,,,,
