Location,Ant_ID,Ant_ID_(partner),start_time,end_time,,,,,,,,,,,,,,,,,,,,,
1,36,571,4791,4801,,,,,,,,,,,,,,,,,,,,,
1,571,36,4791,4801,,,,,,,,,,,,,,,,,,,,,
1,269,539,4802,4812,,,,,,,,,,,,,,,,,,,,,
1,539,269,4802,4812,,,,,,,,,,,,,,,,,,,,,
1,269,539,4826,4851,,,,,,,,,,,,,,,,,,,,,
1,539,269,4826,4851,,,,,,,,,,,,,,,,,,,,,
1,657,539,4910,4923,,,,,,,,,,,,,,,,,,,,,
1,539,657,4910,4923,,,,,,,,,,,,,,,,,,,,,
1,539,797,4927,5065,,,,,,,,,,,,,,,,,,,,,
1,797,539,4927,5065,,,,,,,,,,,,,,,,,,,,,
1,633,594,4929,4939,,,,,,,,,,,,,,,,,,,,,
1,594,633,4929,4939,,,,,,,,,,,,,,,,,,,,,
1,166,637,4988,5006,,,,,,,,,,,,,,,,,,,,,
1,637,166,4988,5006,,,,,,,,,,,,,,,,,,,,,
1,269,637,5033,5042,,,,,,,,,,,,,,,,,,,,,
1,637,269,5033,5042,,,,,,,,,,,,,,,,,,,,,
1,532,166,5033,5046,,,,,,,,,,,,,,,,,,,,,
1,166,532,5033,5046,,,,,,,,,,,,,,,,,,,,,
1,269,633,5116,5136,,,,,,,,,,,,,,,,,,,,,
1,633,269,5116,5136,,,,,,,,,,,,,,,,,,,,,
1,657,166,5138,5141,,,,,,,,,,,,,,,,,,,,,
1,166,657,5138,5141,,,,,,,,,,,,,,,,,,,,,
1,67,539,5141,5184,,,,,,,,,,,,,,,,,,,,,
1,539,67,5141,5184,,,,,,,,,,,,,,,,,,,,,
1,657,166,5148,5166,,,,,,,,,,,,,,,,,,,,,
1,166,657,5148,5166,,,,,,,,,,,,,,,,,,,,,
1,33,797,5333,5367,,,,,,,,,,,,,,,,,,,,,
1,797,33,5333,5367,,,,,,,,,,,,,,,,,,,,,
1,295,72,6374,6382,,,,,,,,,,,,,,,,,,,,,
1,72,295,6374,6382,,,,,,,,,,,,,,,,,,,,,
1,331,353,6383,6474,,,,,,,,,,,,,,,,,,,,,
1,353,331,6383,6474,,,,,,,,,,,,,,,,,,,,,
