Location,Ant_ID,Ant_ID_(partner),start_time,end_time,,,,,,
1,758,46,12056,12207,,,,,,
1,46,758,12056,12207,,,,,,
1,77,67,12073,12186,,,,,,
1,67,77,12073,12186,,,,,,
1,262,699,12082,12087,,,,,,
1,699,262,12082,12087,,,,,,
1,q,819,12092,12141,,,,,,
1,819,q,12092,12141,,,,,,
1,143,195,12093,12109,,,,,,
1,195,143,12093,12109,,,,,,
1,561,72,12126,12228,,,,,,
1,561,18,12126,12228,,,,,,
1,72,561,12126,12228,,,,,,
1,18,561,12126,12228,,,,,,
1,262,533,12130,12134,,,,,,
1,533,262,12130,12134,,,,,,
1,143,195,12143,12159,,,,,,
1,195,143,12143,12159,,,,,,
1,265,637,12172,12198,,,,,,
1,637,265,12172,12198,,,,,,
1,324,174,12202,12223,,,,,,
1,174,324,12202,12223,,,,,,
1,262,175,12207,12216,,,,,,
1,175,262,12207,12216,,,,,,
1,q,819,12230,12254,,,,,,
1,819,q,12230,12254,,,,,,
1,324,174,12234,12359,,,,,,
1,174,324,12234,12359,,,,,,
1,533,175,12235,12271,,,,,,
1,175,533,12235,12271,,,,,,
1,72,561,12243,12265,,,,,,
1,561,72,12243,12265,,,,,,
1,195,298,12251,12256,,,,,,
1,298,195,12251,12256,,,,,,
1,298,758,12278,12336,,,,,,
1,758,298,12278,12336,,,,,,
1,36,18,12302,12340,,,,,,
1,18,36,12302,12340,,,,,,
1,72,819,12309,12342,,,,,,
1,819,72,12309,12342,,,,,,
1,353,291,12313,12624,,,,,,
1,291,353,12313,12624,,,,,,
1,72,133,12346,12388,,,,,,
1,133,72,12346,12388,,,,,,
1,36,18,12350,12460,,,,,,
1,18,36,12350,12460,,,,,,
1,133,q,12390,12478,,,,,,
1,q,133,12390,12478,,,,,,
1,143,324,12393,12402,,,,,,
1,324,143,12393,12402,,,,,,
1,77,758,12402,12429,,,,,,
1,758,77,12402,12429,,,,,,
1,135,33,12408,12411,,,,,,
1,33,135,12408,12411,,,,,,
1,331,494,12412,12421,,,,,,
1,494,331,12412,12421,,,,,,
1,262,763,12428,12451,,,,,,
1,763,262,12428,12451,,,,,,
1,1,699,12429,12435,,,,,,
1,699,1,12429,12435,,,,,,
1,539,764,12429,12768,,,,,,
1,764,539,12429,12768,,,,,,
1,561,43,12431,12470,,,,,,
1,43,561,12431,12470,,,,,,
1,135,33,12433,12493,,,,,,
1,33,135,12433,12493,,,,,,
1,298,494,12451,12504,,,,,,
1,494,298,12451,12504,,,,,,
1,1,637,12467,12489,,,,,,
1,637,1,12467,12489,,,,,,
1,324,262,12490,12501,,,,,,
1,262,324,12490,12501,,,,,,
1,763,46,12503,12637,,,,,,
1,46,763,12503,12637,,,,,,
1,174,1,12510,12512,,,,,,
1,1,174,12510,12512,,,,,,
1,133,819,12538,12580,,,,,,
1,819,133,12538,12580,,,,,,
1,298,494,12539,12756,,,,,,
